title,target_muscle_group,exercise_type,equipment,mechanics,force_type,experience_level,secondary_muscles,video_url,video_type
45 degress calf press,Calves,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/RcKQbiL-ZOc?rel=0,youtube
seated dumbbell calf raise,Calves,Strength,Dumbbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/seateddumbbellcalfraise.mp4,mp4
standing calf raise,Calves,Strength,Barbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/standingbarbellcalfraise.mp4,mp4
standing one leg calf raise with dumbbell,Calves,Strength,Dumbbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/standingonelegcalfraisewithdumbbell.mp4,mp4
bodyweight standing calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/bodyweightstandingcalfraise.mp4,mp4
one leg seated dumbbell calf raise,Calves,Strength,Dumbbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegseateddumbbellcalfraise.mp4,mp4
smith machine calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/smithmachinecalfraise.mp4,mp4
donkey calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/donkeycalfraise.mp4,mp4
one leg standing calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegbodyweightstandingcalfraise.mp4,mp4
floor barbell calf raise,Calves,Strength,Barbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/floorbarbellcalfraise.mp4,mp4
seated barbell calf raise,Calves,Strength,Barbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/seatedbarbellcalfraise.mp4,mp4
toes in seated calf raise,Calves,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/GNNggarciHY?rel=0,youtube
one leg floor calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegfloorcalfraise.mp4,mp4
cable calf raise,Calves,Strength,Cable,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/cablecalfraise.mp4,mp4
rocking standing calf raise,Calves,Strength,Barbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/rockingcalfraise.mp4,mp4
hack calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/hackcalfraises.mp4,mp4
floor calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/floorcalfraise.mp4,mp4
smith machine seated calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/smithmachineseatedcalfraise.mp4,mp4
smith machine one leg calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegsmithmachinecalfraise.mp4,mp4
one leg 45 degree calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/oneleg45degreecalfraise.mp4,mp4
toes out 45 degree calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/toesout45degreecalfraise.mp4,mp4
exercise ball on the wall calf raise,Calves,Strength,Exercise Ball,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/swissballwallcalfraise.mp4,mp4
toes out seated calf raise,Calves,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/grb_PSkmVls?rel=0,youtube
toes in smith machine calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/toesinsmithmachinecalfraise.mp4,mp4
one leg seated calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegseatedcalfraise.mp4,mp4
smith machine toe raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/reversesmithmachinecalfraise.mp4,mp4
dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/dGqI0Z5ul4k?rel=0,youtube
dumbbell pullover,Chest,Strength,Dumbbell,Compound,Push,Intermediate,"Lats, Shoulders, Triceps",cdn.muscleandstrength.com/video/dumbbellpullover.mp4,mp4
incline dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/8nNi8jbbUPE?rel=0,youtube
dumbbell flys,Chest,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/-lcbvOddoi8?rel=0,youtube
incline bench press,Chest,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/uIzbJX5EVIY?rel=0,youtube
barbell bench press,Chest,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Shoulders, Triceps",https://www.youtube.com/embed/tuwHzzPdaGc?rel=0,youtube
pec dec,Chest,Strength,Machine,Isolation,Push,Beginner,Shoulders,cdn.muscleandstrength.com/video/PecDec.mp4,mp4
cable crossovers %28mid chest%29,Chest,Strength,Cable,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/OPYrUGZL8nU?rel=0,youtube
hammer strength bench press,Chest,Strength,Machine,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/dMQdd40Y3FQ?rel=0,youtube
cable crossovers %28upper chest%29,Chest,Strength,Cable,Isolation,Push,Beginner,Shoulders,https://player.vimeo.com/video/756783830?h=6ab607326e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
chest dip,Chest,Strength,Bodyweight,Compound,Push (Bilateral),Intermediate,"Abs, Shoulders, Triceps",https://www.youtube.com/embed/FG1ENBFsdHU?rel=0,youtube
close grip dumbbell press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Intermediate,"Shoulders, Triceps",https://www.youtube.com/embed/XZ3XSwmk1Os?rel=0,youtube
cable crossovers,Chest,Strength,Cable,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/DumkKcC_nHI?rel=0,youtube
incline dumbbell flys,Chest,Strength,Dumbbell,Isolation,Push,Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/beazxb8q-SA?rel=0,youtube
reverse dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push,Beginner,"Shoulders, Triceps",https://player.vimeo.com/video/756783404?h=cb95bd4cff&badge=0&autopause=0&player_id=0&app_id=58479/embed,vimeo
push up,Chest,Strength,Bodyweight,Compound,Push (Bilateral),Beginner,"Abs, Shoulders, Triceps",https://www.youtube.com/embed/KEFQyLkDYtI?rel=0,youtube
decline bench press,Chest,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/oIgci8aNsG0?rel=0,youtube
decline dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/5pDbtYmX5fM?rel=0,youtube
cable lower chest raise,Chest,Strength,Cable,Isolation,Push (Bilateral),Intermediate,"Shoulders, Triceps",https://www.youtube.com/embed/8YjdqeIXPUQ?rel=0,youtube
incline smith machine bench press,Chest,Strength,Machine,Compound,Push,Beginner,"Shoulders, Triceps",https://player.vimeo.com/video/756783757?h=9e03c89f9b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
cable crossovers bent over,Chest,Strength,Cable,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/JHqmhZ12rr0?rel=0,youtube
weighted chest dip,Chest,Strength,Other,Compound,Push,Intermediate,"Shoulders, Triceps",https://player.vimeo.com/video/756783554?h=cb9d037b1d&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
decline dumbbell flys,Chest,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/4ahnfPhKoFo?rel=0,youtube
palms in dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/3CYW028cECg?rel=0,youtube
deep push ups,Chest,Strength,Bodyweight,Compound,Push (Bilateral),Intermediate,"Abs, Shoulders, Triceps",https://www.youtube.com/embed/168QDdvpDag?rel=0,youtube
barbell pullover,Chest,Strength,Barbell,Compound,Pull,Intermediate,"Lats, Shoulders, Triceps",https://player.vimeo.com/video/756783462?h=dec5253956&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
cable chest press,Chest,Strength,Cable,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/n4CEULDvATA?rel=0,youtube
incline cable flys,Chest,Strength,Cable,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/zrnnlaC0kew?rel=0,youtube
smith machine bench press,Chest,Strength,Machine,Compound,Push,Beginner,"Shoulders, Triceps",https://player.vimeo.com/video/756783677?h=b20676578f&badge=0&autopause=0&player_id=0&app_id=58479/embed,vimeo
barbell wrist curl,Forearms,Strength,Barbell,Isolation,Pull (Bilateral),Beginner,None,https://www.youtube.com/embed/cOBaYeX3bYo?rel=0,youtube
standing wrist curl,Forearms,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/standingbarbellwristcurl.mp4,mp4
reverse barbell curl,Forearms,Strength,Barbell,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/reversegripbarbellcurl.mp4,mp4
one arm seated dumbbell wrist curl,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/onearmseatedwristcurl.mp4,mp4
reverse dumbbell wrist curl over bench,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/reversedumbbellwristcurloverbench.mp4,mp4
reverse barbell wrist curl over bench,Forearms,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/barbellreversewristcurloverbench.mp4,mp4
dumbbell wrist curl over bench,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/dumbbellwristcurloverbench.mp4,mp4
wrist rollers,Forearms,Strength,Other,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/wristroller.mp4,mp4
ez bar reverse grip barbell curl,Forearms,Strength,EZ Bar,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/ezbarreversegripbarbellcurl.mp4,mp4
barbell wrist curl over bench,Forearms,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/barbellwristcurloverbench.mp4,mp4
reverse barbell wrist curl,Forearms,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/seatedreversebarbellwristcurl.mp4,mp4
weight plate pinches,Forearms,Strength,Other,Isolation,Static,Beginner,None,cdn.muscleandstrength.com/video/weightplatepinches.mp4,mp4
reverse concentration curl,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/reverseconcentrationcurl.mp4,mp4
reverse preacher curl,Forearms,Strength,Barbell,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/reversegrippreachercurl.mp4,mp4
reverse dumbbell wrist curl,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/seatedreversedumbbellwristcurl.mp4,mp4
seated neutral dumbbell wrist curl,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/seatedneutraldumbbellwristcurl.mp4,mp4
reverse cable curl,Forearms,Strength,Cable,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/reversegripcablecurl.mp4,mp4
reverse cable preacher curl,Forearms,Strength,Cable,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/reversecablepreachercurl.mp4,mp4
standing cable reverse curl,Forearms,Strength,Cable,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/standingcablereversecurl.mp4,mp4
standing smith machine wrist curl (behind back),Forearms,Strength,Machine,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/standingsmithmachinewristcurl.mp4,mp4
dumbbell wrist curl,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/seateddumbbellwristcurl.mp4,mp4
standing one arm dumbbell reverse curl,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/standingonearmdumbbellreversecurl.mp4,mp4
ez bar reverse grip preacher curl,Forearms,Strength,EZ Bar,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/ezbarreversegrippreachercurl.mp4,mp4
dumbbell reverse preacher curl,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/reversedumbbellpreachercurl.mp4,mp4
reverse one arm cable curl,Forearms,Strength,Cable,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/reverseonearmcablecurl.mp4,mp4
standing alternate dumbbell reverse curl,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,Biceps,cdn.muscleandstrength.com/video/standingalternatedumbbellreversecurl.mp4,mp4
standing cable wrist curl (behind back),Forearms,Strength,Cable,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/standingcablewristcurl.mp4,mp4
hyperextension,Glutes,Strength,Bodyweight,Isolation,Hinge (Bilateral),Beginner,"Hamstrings, Lower Back",https://www.youtube.com/embed/BZMnTSobIAQ?rel=0,youtube
good mornings,Glutes,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Hamstrings, Lower Back, Upper Back",https://www.youtube.com/embed/8sGgyquE1Bs?rel=0,youtube
glute kick back,Glutes,Strength,Bodyweight,Isolation,Push (Unilateral),Beginner,Hamstrings,https://www.youtube.com/embed/aX0U98L4Ywk?rel=0,youtube
standing glute kickback,Glutes,Strength,Machine,Isolation,Push,Beginner,Hamstrings,cdn.muscleandstrength.com/video/standingglutekickback.mp4,mp4
wide smith machine squat,Glutes,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",cdn.muscleandstrength.com/video/widesmithmachinesquat.mp4,mp4
seated good mornings,Glutes,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Hamstrings, Lower Back, Upper Back",https://www.youtube.com/embed/XZ7mDHLBQCs?rel=0,youtube
hip extensions,Glutes,Strength,Machine,Isolation,Push,Beginner,Abductors,cdn.muscleandstrength.com/video/hipextensions.mp4,mp4
dumbbell stiff leg deadlift,Hamstrings,Strength,Dumbbell,Compound,Pull,Beginner,"Glutes, Lower Back",cdn.muscleandstrength.com/video/dumbbellstifflegdeadlift.mp4,mp4
deadlifts,Hamstrings,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Adductors, Calves, Forearms, Glutes, Hamstrings, Lats, Lower Back, Middle Back, Quads, Traps, Upper Back",https://www.youtube.com/embed/wjsu6ceEkAQ?rel=0,youtube
leg curl,Hamstrings,Strength,Machine,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/legcurl.mp4,mp4
stiff leg deadlift aka romanian deadlift,Hamstrings,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Lats, Lower Back, Quads, Traps, Upper Back",https://www.youtube.com/embed/CkrqLaDGvOA?rel=0,youtube
dumbbell hamstring curl,Hamstrings,Strength,Dumbbell,Isolation,Pull,Intermediate,None,cdn.muscleandstrength.com/video/dumbbellhamstringcurl.mp4,mp4
reverse hack squat,Hamstrings,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Quads",cdn.muscleandstrength.com/video/reversehacksquat.mp4,mp4
single leg curl,Hamstrings,Strength,Machine,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/singlelegcurl.mp4,mp4
standing cable hamstring curl,Hamstrings,Strength,Cable,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/standinghamstringcablecurl.mp4,mp4
lying cable hamstring curl,Hamstrings,Strength,Cable,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/lyingcablehamstringcurl.mp4,mp4
stiff leg deadlift on bench,Hamstrings,Strength,Barbell,Isolation,Pull,Advanced,"Glutes, Lower Back",cdn.muscleandstrength.com/video/stifflegdeadlilftonbench.mp4,mp4
lat pull down,Lats,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",https://www.youtube.com/embed/iKrKgWR9wbY?rel=0,youtube
