title,exercise_type,target_muscle_group,equipment,experience_level,exercise_rating,exercise_rating_description,alternative_exercises
Power Partials,Strength,Shoulders,Dumbbell,Beginner,9.1,Average,"Single-arm lateral raise,Lateral Raise - With Bands,Seated Side Lateral Raise"
Leverage Shrug,Strength,Traps,Machine,Intermediate,9.1,Average,N/A
Cable V-bar push-down,Strength,Triceps,Cable,Intermediate,9.1,Average,"Triceps Pushdown - Rope Attachment,Triceps Pushdown"
Wrist Roller,Strength,Forearms,Other,Beginner,9.1,Average,"Palms-down wrist curl over bench,Palms-Down Dumbbell Wrist Curl Over A Bench,Seated palms-down wrist curl"
Incline dumbbell reverse fly,Strength,Shoulders,Dumbbell,Intermediate,9.1,Average,"Single-arm bent-over cable rear delt fly,Head-on-bench dumbbell rear delt raise,Back Flyes - With Bands"
Stair climber,Cardio,Quadriceps,Machine,Intermediate,9.1,Average,N/A
Elbow-to-knee crunch,Strength,Abdominals,Body Only,Intermediate,9.1,Average,Ab Crunch Machine
Kettlebell Pistol Squat,Strength,Quadriceps,Kettlebells,Beginner,9.1,Average,N/A
Overhead dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate,9.1,Average,"Front Plate Raise,Front Raise And Pullover,Dumbbell front raise"
Biceps curl to shoulder press,Strength,Biceps,Dumbbell,Beginner,9.1,Average,N/A
Weighted bench dip,Strength,Triceps,Body Only,Intermediate,9.1,Average,"Triceps dip,Dip Machine,Feet-elevated bench dip"
Barbell Hip Thrust,Powerlifting,Glutes,Barbell,Intermediate,9.1,Average,"Glute bridge,Barbell glute bridge"
Forward lunge,Strength,Quadriceps,Body Only,Intermediate,9,Average,"Alternating lunge jump,Single-leg glute bridge"
Barbell Bench Press - Medium Grip,Strength,Chest,Barbell,Intermediate,9,Average,"Dumbbell Bench Press,Smith machine bench press,Machine chest press"
Chest dip,Strength,Chest,Other,Intermediate,9,Average,"Decline barbell bench press,Decline dumbbell bench press,Dip Machine,Reverse-grip bench press"
Seated dumbbell shoulder press,Strength,Shoulders,Dumbbell,Intermediate,9,Average,Machine Shoulder (Military) Press
Barbell Curl,Strength,Biceps,Barbell,Intermediate,9,Average,"Preacher Curl,EZ-Bar Curl,Dumbbell Bicep Curl"
EZ-Bar Skullcrusher,Strength,Triceps,E-Z Curl Bar,Intermediate,9,Average,Cable V-bar push-down
One-Arm Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,9,Average,"Bent Over Two-Dumbbell Row With Palms In,Alternating sit-through with crunch"
Alternating standing shoulder press,Strength,Shoulders,Dumbbell,Intermediate,9,Average,"Shoulder Press - With Bands,Cable Shoulder Press"
Concentration curl,Strength,Biceps,Dumbbell,Intermediate,9,Average,"Cable rope preacher hammer curl,High Cable Curls,Palms-out incline biceps curl"
Decline Crunch,Strength,Abdominals,Body Only,Intermediate,9,Average,"Reverse crunch,Ab Crunch Machine,Seated leg tuck"
Decline Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate,9,Average,"Decline dumbbell bench press,Cable Crossover,Chest dip"
Single-arm incline rear delt raise,Strength,Shoulders,Dumbbell,Intermediate,9,Average,N/A
Alternating dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate,9,Average,"Single-arm cable front raise,Front Plate Raise,Incline dumbbell front raise"
Hanging toes-to-bar,Strength,Abdominals,Body Only,Intermediate,9,Average,"Hanging leg raise,Captain&#x27;s chair knee raise"
Narrow-stance squat,Strength,Quadriceps,Barbell,Expert,9,Average,"Dumbbell squat,Narrow Stance Hack Squats,Narrow-stance leg press"
Kneeling cable oblique crunch,Strength,Abdominals,Cable,Intermediate,9,Average,"Feet-elevated oblique crunch,Kneeling Cable Crunch With Alternating Oblique Twists"
Reverse Grip Triceps Pushdown,Strength,Triceps,Cable,Intermediate,9,Average,"Single-arm cable triceps extension,One Arm Supinated Dumbbell Triceps Extension"
Bear crawl sled drag,Strongman,Quadriceps,Other,Intermediate,9,Average,Sled Drag - Harness
Rocky Pull-Ups/Pulldowns,Strength,Lats,Other,Beginner,9,Average,"Lat pull-down,Behind-the-neck pull-down,Pullups,Wide-Grip Rear Pull-Up"
Snatch-Grip Behind-The-Neck Overhead Press,Strength,Shoulders,Barbell,Beginner,9,Average,Seated dumbbell shoulder press
Box Squat with Bands,Powerlifting,Quadriceps,Barbell,Beginner,9,Average,"Barbell back squat to box,Box Squat with Chains"
Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,Beginner,9,Average,"Alternating incline dumbbell biceps curl,Palms-out incline biceps curl"
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Strength,Forearms,Dumbbell,Beginner,9,Average,"Standing behind-the-back wrist curl,Seated Dumbbell Palms-Up Wrist Curl"
Thigh adductor,Strength,Adductors,Machine,Intermediate,9,Average,N/A
Machine Bicep Curl,Strength,Biceps,Machine,Beginner,9,Average,N/A
Seated Palms-Down Barbell Wrist Curl,Strength,Forearms,N/A,Intermediate,9,Average,Seated One-Arm Dumbbell Palms-Down Wrist Curl
Car driver,Strength,Shoulders,Other,Intermediate,9,Average,Front Plate Raise
Alternating Deltoid Raise,Strength,Shoulders,Dumbbell,Intermediate,9,Average,N/A
Hanging Oblique Knee Raise,Strength,Abdominals,Body Only,Intermediate,9,Average,Hanging leg raise
Bodyweight Flyes,Strength,Chest,E-Z Curl Bar,Beginner,9,Average,"Cable Crossover,Butterfly"
Standing Calf Raises,Strength,Calves,Machine,Beginner,9,Average,"Calf Press On The Leg Press Machine,Calf Raise On A Dumbbell,Calf Raises - With Bands"
Push-Ups - Close Triceps Position,Strength,Triceps,Body Only,Intermediate,9,Average,N/A
One-Arm Long Bar Row,Strength,Middle Back,Barbell,Intermediate,9,Average,N/A
Overhead cable curl,Strength,Biceps,Cable,Intermediate,9,Average,"Standing Inner-Biceps Curl,Seated Dumbbell Inner Biceps Curl"
Single-dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate,9,Average,N/A
Incline cable chest fly,Strength,Chest,Cable,Intermediate,9,Average,"Incline Dumbbell Flyes,Incline Dumbbell Flyes - With A Twist"
Single-leg depth squat,Strength,Quadriceps,Bands,Intermediate,9,Average,N/A
Dumbbell suitcase crunch,Strength,Abdominals,Medicine Ball,Intermediate,9,Average,N/A
Plate Twist,Strength,Abdominals,Other,Beginner,9,Average,"Cross-Body Crunch,Russian twist"
Single-leg cable hip extension,Strength,Glutes,Cable,Intermediate,9,Average,3/4 sit-up
Weighted Jump Squat ,Strength,Quadriceps,Barbell,Beginner,9,Average,N/A
Squat with Chains,Powerlifting,Quadriceps,Barbell,Beginner,9,Average,"Squat with Bands,Reverse Band Box Squat,Reverse Band Power Squat"
Gorilla Chin/Crunch,Strength,Abdominals,Body Only,Beginner,9,Average,"Hanging leg raise,Hanging toes-to-bar"
Kneeling cable triceps extension,Strength,Triceps,Cable,Intermediate,9,Average,"Cable overhead triceps extension,Seated triceps press,Incline EZ-bar skullcrusher"
Kneeling Cable Crunch With Alternating Oblique Twists,Strength,Abdominals,N/A,Intermediate,8.9,Average,N/A
Bicycling,Cardio,Quadriceps,Other,Intermediate,8.9,Average,N/A
Arnold press,Strength,Shoulders,Dumbbell,Intermediate,8.9,Average,"Bradford/Rocky Presses,Seated dumbbell shoulder press"
Weighted Crunches,Strength,Abdominals,Other,Intermediate,8.9,Average,N/A
Single-arm cable triceps extension,Strength,Triceps,Cable,Intermediate,8.9,Average,"Triceps Pushdown - Rope Attachment,Reverse Grip Triceps Pushdown"
Barbell roll-out,Strength,Abdominals,Barbell,Intermediate,8.9,Average,"Ab Roller,Exercise Ball Pull-In"
Kneeling cable crunch,Strength,Abdominals,Cable,Intermediate,8.9,Average,"Ab Roller,Weighted Sit-Ups - With Bands,Cable Seated Crunch"
Exercise Ball Pull-In,Strength,Abdominals,Exercise Ball,Intermediate,8.9,Average,"Lying bench reverse crunch,Reverse crunch,Decline reverse crunch"
Hanging leg raise,Strength,Abdominals,Body Only,Intermediate,8.9,Average,"Hanging toes-to-bar,Captain&#x27;s chair knee raise"
Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate,8.9,Average,"Ab Roller,Exercise Ball Pull-In"
Barbell Squat,Strength,Quadriceps,Barbell,Intermediate,8.9,Average,N/A
Decline barbell bench press,Strength,Chest,Barbell,Intermediate,8.9,Average,"Decline dumbbell bench press,Chest dip,Smith machine bench press"
Dumbbell Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,8.9,Average,"Barbell Curl,EZ-Bar Curl,High Cable Curls"
Dumbbell Goblet Squat,Strength,Quadriceps,Dumbbell,Intermediate,8.9,Average,N/A
Dumbbell squat,Strength,Quadriceps,Dumbbell,Intermediate,8.9,Average,"Barbell front squat,Dumbbell sumo squat,Arms-crossed jump squat"
Barbell front squat,Strength,Quadriceps,Barbell,Intermediate,8.9,Average,"Hack Squat,Barbell Full Squat,Barbell hack squat"
Close-grip pull-down,Strength,Lats,Cable,Intermediate,8.9,Average,"Close-Grip Front Lat Pulldown,V-bar pull-up"
Triceps Pushdown - Rope Attachment,Strength,Triceps,N/A,Intermediate,8.9,Average,"Cable V-bar push-down,Triceps Pushdown"
Side-to-side box skip,Plyometrics,Quadriceps,Body Only,Intermediate,8.9,Average,N/A
Smith machine shoulder press,Strength,Shoulders,Machine,Intermediate,8.9,Average,"Machine Shoulder (Military) Press,Barbell Shoulder Press,Seated dumbbell shoulder press"
Seated triceps press,Strength,Triceps,Dumbbell,Intermediate,8.9,Average,"Cable overhead triceps extension,Standing Dumbbell Triceps Extension,Incline EZ-bar skullcrusher"
Dumbbell Lying Supination,Strength,Forearms,N/A,Intermediate,8.9,Average,N/A
Pull-up,Strength,Lats,Body Only,Beginner,8.9,Average,"Lat pull-down,Behind-the-neck pull-down,Wide-Grip Rear Pull-Up,Wrist Circles,Wide-grip barbell curl,Windmills,World&#x27;s greatest stretch,Hanging wind sprint,Wide-Stance Leg Press"
Wide-grip bench press,Strength,Chest,Barbell,Beginner,8.9,Average,Smith machine bench press
Close-grip EZ-bar curl,Strength,Biceps,Barbell,Beginner,8.9,Average,"Alternate Incline Dumbbell Curl,Seated dumbbell biceps curl,Dumbbell Bicep Curl"
T-Bar Row,Strength,Middle Back,Other,Intermediate,8.9,Average,Smith machine bent-over row
Bent Over Two-Arm Long Bar Row,Strength,Middle Back,Barbell,Intermediate,8.9,Average,"Seated Cable Rows,Smith machine bent-over row"
Muscle Up,Strength,Lats,Body Only,Intermediate,8.9,Average,N/A
Machine shoulder press,Strength,Shoulders,Machine,Intermediate,8.9,Average,N/A
Incline EZ-bar skullcrusher,Strength,Triceps,Barbell,Intermediate,8.9,Average,"Low Cable Triceps Extension,Incline cable straight-bar triceps extension"
Alternating sit-through with crunch,Strength,Middle Back,Other,Intermediate,8.9,Average,Seated Cable Rows
Wide-Grip Decline Barbell Bench Press,Strength,Chest,Barbell,Beginner,8.9,Average,Decline dumbbell bench press
Rower,Cardio,Middle Back,Machine,Intermediate,8.9,Average,N/A
Snatch Deadlift,Olympic Weightlifting,Hamstrings,Barbell,Beginner,8.9,Average,Barbell deficit deadlift
Front Plate Raise,Strength,Shoulders,Other,Intermediate,8.9,Average,"Single-arm cable front raise,Incline dumbbell front raise"
Decline Close-Grip Bench To Skull Crusher,Strength,Triceps,Barbell,Beginner,8.9,Average,"Triceps Pushdown - Rope Attachment,Incline cable straight-bar triceps extension,Reverse-grip bench press"
Lying Leg Curls,Strength,Hamstrings,Machine,Beginner,8.9,Average,Seated Leg Curl
Cross-body hammer curl,Strength,Biceps,Dumbbell,Beginner,8.9,Average,"Hammer Curls,Alternate Hammer Curl,Palms-out incline biceps curl"
Shotgun row,Strength,Lats,Cable,Intermediate,8.9,Average,Alternating sit-through with crunch
Ab Roller,Strength,Abdominals,Other,Intermediate,8.9,Average,"Barbell Ab Rollout - On Knees,Barbell roll-out"
Reverse-grip incline dumbbell bench press,Strength,Chest,Dumbbell,Beginner,8.9,Average,N/A
Leg Press,Strength,Quadriceps,Machine,Intermediate,8.8,Average,"Hack Squat,Narrow Stance Hack Squats,Narrow-stance leg press"
Stiff-Legged Dumbbell Deadlift,Strength,Hamstrings,Dumbbell,Intermediate,8.8,Average,Smith machine stiff-legged deadlift
Cable Crossover,Strength,Chest,Cable,Intermediate,8.8,Average,"Dumbbell Flyes,Butterfly"
Barbell Incline Bench Press Medium-Grip,Strength,Chest,Barbell,Intermediate,8.8,Average,Incline dumbbell bench press
Incline Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate,8.8,Average,N/A
Seated Cable Rows,Strength,Middle Back,Cable,Intermediate,8.8,Average,"Bent Over Two-Dumbbell Row With Palms In,Bent Over Two-Arm Long Bar Row,Lying T-Bar Row"
Tricep Dumbbell Kickback,Strength,Triceps,Dumbbell,Intermediate,8.8,Average,"Standing Dumbbell Triceps Extension,Seated Bent-Over One-Arm Dumbbell Triceps Extension"
Otis-Up,Strength,Abdominals,Other,Intermediate,8.8,Average,N/A
Mountain climber,Plyometrics,Abdominals,Body Only,Intermediate,8.8,Average,N/A
Ab bicycle,Strength,Abdominals,Body Only,Intermediate,8.8,Average,"Alternating heel-touch,Cross-Body Crunch,Russian twist"
Barbell forward lunge,Strength,Quadriceps,Barbell,Expert,8.8,Average,"Dumbbell reverse lunge,Barbell Bulgarian split squat,Smith machine Bulgarian split squat"
3/4 sit-up,Strength,Abdominals,Body Only,Intermediate,8.8,Average,Decline Crunch
Exercise ball leg curl,Strength,Hamstrings,Exercise Ball,Intermediate,8.8,Average,N/A
Glute bridge,Strength,Glutes,Body Only,Intermediate,8.8,Average,"Standing hip extension,Single-leg cable hip extension,Flutter Kicks"
Close-Grip Front Lat Pulldown,Strength,Lats,Cable,Intermediate,8.8,Average,"Pullups,Chin-Up"
Dip Machine,Strength,Triceps,Cable,Intermediate,8.8,Average,"Triceps dip,Feet-elevated bench dip"
Incline dumbbell row,Strength,Middle Back,Dumbbell,Intermediate,8.8,Average,N/A
Dumbbell Lunges,Strength,Quadriceps,Dumbbell,Intermediate,8.8,Average,"Barbell forward lunge,Barbell step-up,Barbell side split squat"
Single-arm standing shoulder press,Strength,Shoulders,Dumbbell,Intermediate,8.8,Average,"Smith machine shoulder press,Barbell Shoulder Press"
Preacher Curl,Strength,Biceps,Barbell,Intermediate,8.8,Average,"Cable rope preacher hammer curl,Single-arm dumbbell preacher curl,Barbell Curls Lying Against An Incline"
Reverse crunch,Strength,Abdominals,Body Only,Intermediate,8.8,Average,"Lying bench reverse crunch,Exercise Ball Pull-In"
Standing Dumbbell Triceps Extension,Strength,Triceps,Dumbbell,Intermediate,8.8,Average,N/A
Elliptical trainer,Cardio,Quadriceps,Machine,Intermediate,8.8,Average,N/A
Bodyweight squat,Strength,Quadriceps,Body Only,Intermediate,8.8,Average,N/A
Bent Over Two-Dumbbell Row With Palms In,Strength,Middle Back,Dumbbell,Beginner,8.8,Average,"Dumbbell bent-over row,Bent Over Barbell Row"
Hex-bar deadlift,Strength,Quadriceps,Other,Intermediate,8.8,Average,N/A
Narrow-stance leg press,Strength,Quadriceps,Machine,Intermediate,8.8,Average,"Narrow-stance squat,Narrow Stance Hack Squats"
Single-leg glute bridge,Strength,Glutes,Body Only,Intermediate,8.8,Average,N/A
Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,Beginner,8.8,Average,"Preacher Hammer Dumbbell Curl,Preacher Curl,Lying High Bench Barbell Curl"
Standing Hip Circles,Stretching,Abductors,Body Only,Beginner,8.8,Average,N/A
Clam,Strength,Abductors,N/A,Intermediate,8.8,Average,"Thigh abductor,The Straddle,Monster Walk"
Narrow Stance Hack Squats,Strength,Quadriceps,Machine,Beginner,8.8,Average,"Hack Squat,Dumbbell squat"
Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,Beginner,8.8,Average,"Concentration curl,Preacher Curl,Cable rope preacher hammer curl"
Dumbbell Lying Pronation,Strength,Forearms,N/A,Intermediate,8.8,Average,N/A
Smith machine box squat,Strength,Quadriceps,Barbell,Intermediate,8.8,Average,Barbell back squat to box
Drop Push,Plyometrics,Chest,Other,Beginner,8.8,Average,N/A
Upside-down pull-up,Strength,Middle Back,Other,Intermediate,8.8,Average,Bent Over Barbell Row
Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,Beginner,8.8,Average,N/A
Close-grip EZ-bar bench press,Strength,Chest,E-Z Curl Bar,Intermediate,8.8,Average,Parallel Bar Dip
Incline Push-Up,Strength,Chest,Body Only,Intermediate,8.8,Average,N/A
Hyperextensions With No Hyperextension Bench,Strength,Lower Back,Body Only,Beginner,8.8,Average,"Back extension,Exercise ball weighted hyperextension"
Dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate,8.8,Average,"Single-arm cable front raise,Front Plate Raise,Alternating dumbbell front raise"
Parallel Bar Dip,Strength,Triceps,Body Only,Intermediate,8.8,Average,N/A
Stairmaster,Cardio,Quadriceps,Machine,Intermediate,8.8,Average,N/A
Double Leg Butt Kick,Plyometrics,Quadriceps,N/A,Intermediate,8.8,Average,N/A
Groiners ,Stretching,Adductors,Body Only,Beginner,8.8,Average,N/A
Neck Press,Strength,Chest,Barbell,Beginner,8.8,Average,"Barbell Guillotine Bench Press,Incline dumbbell bench press"
Broad jump,Plyometrics,Quadriceps,Body Only,Intermediate,8.8,Average,N/A
Machine Squat,Strength,Quadriceps,Machine,Intermediate,8.8,Average,"Hack Squat,Leg Press,Smith machine back squat,Lying Machine Squat"
V-bar pull-up,Strength,Lats,N/A,Intermediate,8.8,Average,"Close-Grip Front Lat Pulldown,Close-grip pull-down"
Ring dip,Strength,Triceps,Body Only,Intermediate,8.8,Average,N/A
Standing One-Arm Cable Curl,Strength,Biceps,Cable,Beginner,8.8,Average,"EZ-Bar Curl,Close-grip EZ-bar curl,Close-grip barbell curl"
Burpee,Cardio,Quadriceps,Body Only,Intermediate,8.8,Average,N/A
